user,login_count,device_count,after_hours,login_frequency
DTAA/AAA0371,843,0.0,290,2.906896551724138
DTAA/AAC0344,690,0.0,166,2.0
DTAA/AAC0599,690,0.0,178,2.0
DTAA/AAH0734,690,0.0,0,2.0
DTAA/AAK0658,690,0.0,0,2.0
DTAA/AAK0924,690,0.0,0,2.0
DTAA/AAR0508,690,0.0,345,2.0
DTAA/AAS0709,1004,0.0,172,2.9101449275362317
DTAA/ABB0272,1195,655.0,169,3.463768115942029
DTAA/ABD0833,690,0.0,164,2.0
DTAA/ABG0179,690,0.0,0,2.0
DTAA/ABH0963,690,0.0,345,2.0
DTAA/ABL0836,690,0.0,426,2.0
DTAA/ABS0726,788,62.0,78,2.2386363636363638
DTAA/ACD0647,690,0.0,345,2.0
DTAA/ACH0803,822,516.0,350,2.382608695652174
DTAA/ACL0865,690,0.0,345,2.0
DTAA/ACM0061,690,0.0,0,2.0
DTAA/ACR0400,690,0.0,0,2.0
DTAA/ADR0219,690,0.0,0,2.0
DTAA/AEC0750,690,0.0,345,2.0
DTAA/AEG0905,690,0.0,345,2.0
DTAA/AEW0730,690,0.0,0,2.0
DTAA/AFD0868,690,0.0,242,2.0
DTAA/AFF0760,184,6.0,74,3.0163934426229506
DTAA/AFG0122,916,0.0,346,2.655072463768116
DTAA/AFH0331,999,520.0,363,2.8956521739130436
DTAA/AFN0918,1012,405.0,178,2.933333333333333
DTAA/AFO0022,1091,0.0,411,3.1260744985673354
DTAA/AFR0646,690,459.0,0,2.0
DTAA/AGB0091,690,0.0,345,2.0
DTAA/AGF0088,690,0.0,189,2.0
DTAA/AGG0562,690,0.0,0,2.0
DTAA/AGW0182,1224,352.0,384,3.527377521613833
DTAA/AHD0147,690,0.0,161,2.0
DTAA/AHS0926,690,0.0,168,2.0
DTAA/AHV0103,950,0.0,0,2.753623188405797
DTAA/AIB0797,1068,198.0,439,3.0514285714285716
DTAA/AIC0321,690,0.0,163,2.0
DTAA/AID0577,690,0.0,345,2.0
DTAA/AJA0220,1129,314.0,459,3.153631284916201
DTAA/AJB0016,1135,589.0,355,3.289855072463768
DTAA/AJB0370,987,198.0,345,2.860869565217391
DTAA/AJC0203,690,0.0,0,2.0
DTAA/AJC0266,1121,590.0,0,3.2492753623188406
DTAA/AJC0399,189,69.0,13,3.78
DTAA/AJM0302,690,0.0,345,2.0
DTAA/AJN0804,1204,0.0,348,3.4898550724637682
DTAA/AJP0553,852,40.0,84,2.4204545454545454
DTAA/AJS0917,690,0.0,345,2.0
DTAA/AJS0978,690,0.0,0,2.0
DTAA/AKA0033,690,0.0,345,2.0
DTAA/AKH0067,690,0.0,345,2.0
DTAA/AKM0969,690,0.0,174,2.0
DTAA/AKP0173,690,0.0,345,2.0
DTAA/AKS0283,1202,11.0,90,3.3954802259887007
DTAA/AKW0582,1050,0.0,78,2.9914529914529915
DTAA/ALC0244,690,0.0,345,2.0
DTAA/ALK0520,1141,0.0,395,3.307246376811594
DTAA/ALL0155,690,0.0,345,2.0
DTAA/ALN0201,690,0.0,345,2.0
DTAA/ALS0087,690,0.0,159,2.0
DTAA/ALW0250,690,0.0,345,2.0
DTAA/ALW0694,966,0.0,345,2.8
DTAA/ALW0834,971,0.0,0,2.8144927536231883
DTAA/AMA0191,1035,671.0,750,2.948717948717949
DTAA/AMA0606,800,0.0,354,2.318840579710145
DTAA/AMD0432,690,0.0,0,2.0
DTAA/AMH0101,690,0.0,172,2.0
DTAA/AMM0340,954,0.0,345,2.765217391304348
DTAA/AMM0661,690,0.0,345,2.0
DTAA/AMM0830,690,0.0,156,2.0
DTAA/AMS0897,975,0.0,345,2.8260869565217392
DTAA/ANC0012,967,0.0,345,2.802898550724638
DTAA/ANS0172,690,0.0,345,2.0
DTAA/ANW0351,690,0.0,0,2.0
DTAA/AOC0511,690,0.0,161,2.0
DTAA/APC0769,690,0.0,165,2.0
DTAA/AQG0678,334,214.0,59,2.982142857142857
DTAA/ARB0050,690,0.0,345,2.0
DTAA/ARB0100,678,0.0,339,2.0
DTAA/ARC0677,1131,0.0,363,3.2782608695652176
DTAA/ARF0269,690,0.0,180,2.0
DTAA/ARG0405,690,0.0,345,2.0
DTAA/ARK0026,712,460.0,171,2.063768115942029
DTAA/ARM0416,971,346.0,345,2.8144927536231883
DTAA/ARP0948,690,0.0,160,2.0
DTAA/ARR0758,690,0.0,345,2.0
DTAA/ARR0878,690,0.0,172,2.0
DTAA/ARR0977,1138,260.0,174,3.298550724637681
DTAA/ARS0993,4772,0.0,2541,13.44225352112676
DTAA/ARW0541,690,0.0,0,2.0
DTAA/ASC0132,798,0.0,347,2.3130434782608695
DTAA/ASO0023,1184,28.0,441,3.382857142857143
DTAA/ASP0799,690,0.0,345,2.0
DTAA/ASR0539,690,0.0,173,2.0
DTAA/ASS0824,690,0.0,400,2.0
DTAA/ASV0049,1057,69.0,0,3.063768115942029
DTAA/ATJ0284,702,528.0,357,2.0289017341040463
DTAA/AUM0365,993,0.0,164,2.878260869565217
DTAA/AWB0828,690,0.0,0,2.0
DTAA/AXB0007,690,0.0,0,2.0
DTAA/AZC0030,744,258.0,161,2.1565217391304348
DTAA/AZS0738,690,0.0,175,2.0
DTAA/BAB0505,690,0.0,345,2.0
DTAA/BAE0444,690,0.0,167,2.0
DTAA/BAF0379,870,301.0,74,2.4786324786324787
DTAA/BAH0774,690,0.0,174,2.0
DTAA/BAK0787,690,0.0,0,2.0
DTAA/BAM0466,722,0.0,506,2.092753623188406
DTAA/BBH0313,690,0.0,182,2.0
DTAA/BBM0499,926,0.0,349,2.684057971014493
DTAA/BBP0623,690,0.0,170,2.0
